	tBodyAcc-mean()-X	tBodyAcc-mean()-Y	tbodyAcc-mean()-Z	tBodyAcc-std()-X	tBodyAcc-std()-Y	tBodyAcc-std()-Z	 tGravityAcc-mean()-X	tGravityAcc-mean()-Y	tGravityAcc-mean()-Z	tGravityAcc-std()-X	tGravityAcc-std()-Y	tGravityAcc-std()-Z	tBodyAccJerk-mean()-X	tBodyAccJerk-mean()-Y	tBodyAccJerk-mean()-Z	tBodyAccJerk-std()-X	tBodyAccJerk-std()-Y	tBodyAccJerk-std()-Z	tBodyGyro-mean()-X	tBodyGyro-mean()-Y	tBodyGyro-mean()-Z	tBodyGyro-std()-X	tBodyGyro-std()-Y	tBodyGyro-std()-Z	tBodyGyroJerk-mean()-X	tBodyGyroJerk-mean()-Y	tBodyGyroJerk-mean()-Z	tBodyGyroJerk-std()-X	tBodyGyroJerk-std()-Y	tBodyGyroJerk-std()-Z	tBodyAccMag-mean()	tBodyAccMag-std()	tGravityAccMag-mean()	tGravityAccMag-std()	tBodyAccJerkMag-mean()	tBodyAccJerkMag-std()	tBodyGyroMag-mean()	tBodyGyroMag-std()	tBodyGyroJerkMag-mean()	tBodyGyroJerkMag-std()	fBodyAcc-mean()-X	fBodyAcc-mean()-Y	fBodyAcc-mean()-Z	fBodyAcc-std()-X	fBodyAcc-std()-Y	fBodyAcc-std()-Z	fBodyAccJerk-mean()-X	fBodyAccJerk-mean()-Y	fBodyAccJerk-mean()-Z	fBodyAccJerk-std()-X	fBodyAccJerk-std()-Y	fBodyAccJerk-std()-Z	fBodyGyro-mean()-X	fBodyGyro-mean()-Y	fBodyGyro-mean()-Z	fBodyGyro-std()-X	fBodyGyro-std()-Y	fBodyGyro-std()-Z	fBodyAccMag-mean()	fBodyAccMag-std()	fBodyBodyAccJerkMag-mean()	fBodyBodyAccJerkMag-std()	fBodyBodyGyroMag-mean()	fBodyBodyGyroMag-std()	fBodyBodyGyroJerkMag-mean()	fBodyBodyGyroJerkMag-std()	
Subject 1	2.8858451e-001	-2.0294171e-002	-1.3290514e-001	-9.9527860e-001	-9.8311061e-001	-9.1352645e-001	-9.9511208e-001	-9.8318457e-001	-9.2352702e-001	-9.3472378e-001	-5.6737807e-001	-7.4441253e-001	8.5294738e-001	6.8584458e-001	8.1426278e-001	-9.6552279e-001	-9.9994465e-001	-9.9986303e-001	-9.9461218e-001	-9.9423081e-001	-9.8761392e-001	-9.4321999e-001	-4.0774707e-001	-6.7933751e-001	-6.0212187e-001	9.2929351e-001	-8.5301114e-001	3.5990976e-001	-5.8526382e-002	2.5689154e-001	-2.2484763e-001	2.6410572e-001	-9.5245630e-002	2.7885143e-001	-4.6508457e-001	4.9193596e-001	-1.9088356e-001	3.7631389e-001	4.3512919e-001	6.6079033e-001	9.6339614e-001	-1.4083968e-001	1.1537494e-001	-9.8524969e-001	-9.8170843e-001	-8.7762497e-001	-9.8500137e-001	-9.8441622e-001	-8.9467735e-001	8.9205451e-001	-1.6126549e-001	1.2465977e-001	9.7743631e-001	-1.2321341e-001	5.6482734e-002	-3.7542596e-001	8.9946864e-001	-9.7090521e-001	-9.7551037e-001	-9.8432539e-001	-9.8884915e-001	-9.1774264e-001	-1.0000000e+000	-1.0000000e+000	1.1380614e-001	-5.9042500e-001	5.9114630e-001
Subject 2	2.7841883e-001	-1.6410568e-002	-1.2352019e-001	-9.9824528e-001	-9.7530022e-001	-9.6032199e-001	-9.9880719e-001	-9.7491437e-001	-9.5768622e-001	-9.4306751e-001	-5.5785126e-001	-8.1840869e-001	8.4930787e-001	6.8584458e-001	8.2263681e-001	-9.8193011e-001	-9.9999130e-001	-9.9978838e-001	-9.9840537e-001	-9.9915036e-001	-9.7786550e-001	-9.4822478e-001	-7.1489166e-001	-5.0093000e-001	-5.7097906e-001	6.1162716e-001	-3.2954862e-001	2.8421321e-001	2.8459454e-001	1.1570542e-001	-9.0962529e-002	2.9431041e-001	-2.8121057e-001	8.5988430e-002	-2.2152694e-002	-1.6656535e-002	-2.2064350e-001	-1.3428663e-002	-7.2691890e-002	5.7938169e-001	9.6656113e-001	-1.4155127e-001	1.0937881e-001	-9.9741134e-001	-9.8944741e-001	-9.3163868e-001	-9.9788359e-001	-9.8961366e-001	-9.3324040e-001	8.9206031e-001	-1.6134256e-001	1.2258573e-001	9.8452014e-001	-1.1489334e-001	1.0276411e-001	-3.8342955e-001	9.0782890e-001	-9.7058275e-001	-9.7850045e-001	-9.9918838e-001	-9.9002851e-001	-9.4168540e-001	-1.0000000e+000	-1.0000000e+000	-2.1049361e-001	-4.1005552e-001	4.1385634e-001
Subject 3	2.7965306e-001	-1.9467156e-002	-1.1346169e-001	-9.9537956e-001	-9.6718701e-001	-9.7894396e-001	-9.9651994e-001	-9.6366837e-001	-9.7746859e-001	-9.3869155e-001	-5.5785126e-001	-8.1840869e-001	8.4360895e-001	6.8240094e-001	8.3934417e-001	-9.8347777e-001	-9.9996908e-001	-9.9965987e-001	-9.9946950e-001	-9.9713008e-001	-9.6480989e-001	-9.7467500e-001	-5.9223514e-001	-4.8582066e-001	-5.7097906e-001	2.7302484e-001	-8.6308698e-002	3.3720151e-001	-1.6473870e-001	1.7150129e-002	-7.4506933e-002	3.4225631e-001	-3.3256448e-001	2.3928053e-001	-1.3620359e-001	1.7386318e-001	-2.9949278e-001	-1.2469839e-001	-1.8110479e-001	6.0890014e-001	9.6687810e-001	-1.4200984e-001	1.0188392e-001	-9.9957395e-001	-9.9286582e-001	-9.9291723e-001	-9.9963529e-001	-9.9260493e-001	-9.9293426e-001	8.9240056e-001	-1.6371122e-001	9.4565843e-002	9.8677010e-001	-1.1489334e-001	1.0276411e-001	-4.0160160e-001	9.0866783e-001	-9.7036812e-001	-9.8167231e-001	-9.9967903e-001	-9.9210440e-001	-9.9261864e-001	-1.0000000e+000	-1.0000000e+000	-9.2677626e-001	2.2341317e-003	2.7480687e-002
Subject 4	2.7917394e-001	-2.6200646e-002	-1.2328257e-001	-9.9609149e-001	-9.8340270e-001	-9.9067510e-001	-9.9709947e-001	-9.8274984e-001	-9.8930250e-001	-9.3869155e-001	-5.7615889e-001	-8.2971145e-001	8.4360895e-001	6.8240094e-001	8.3786929e-001	-9.8609328e-001	-9.9997554e-001	-9.9973600e-001	-9.9950371e-001	-9.9718043e-001	-9.8379912e-001	-9.8600679e-001	-6.2744626e-001	-8.5093004e-001	-9.1187157e-001	6.1435711e-002	7.4839555e-002	1.9820403e-001	-2.6430733e-001	7.2545240e-002	-1.5531983e-001	3.2315395e-001	-1.7081296e-001	2.9493839e-001	-3.0608099e-001	4.8214783e-001	-4.7012871e-001	-3.0569299e-001	-3.6265405e-001	5.0745887e-001	9.6761519e-001	-1.4397645e-001	9.9850143e-002	-9.9664558e-001	-9.8139281e-001	-9.7847643e-001	-9.9645688e-001	-9.8096181e-001	-9.7845576e-001	8.9381715e-001	-1.6371122e-001	9.3424674e-002	9.8682105e-001	-1.2133575e-001	9.5752648e-002	-4.0027809e-001	9.1062071e-001	-9.6939971e-001	-9.8241965e-001	-9.9597641e-001	-9.8066338e-001	-9.7977867e-001	-1.0000000e+000	-1.0000000e+000	-5.9610084e-001	-6.4934877e-002	7.5427203e-002
Subject 5	2.7662877e-001	-1.6569655e-002	-1.1536185e-001	-9.9813862e-001	-9.8081727e-001	-9.9048163e-001	-9.9832113e-001	-9.7967187e-001	-9.9044113e-001	-9.4246912e-001	-5.6917385e-001	-8.2470529e-001	8.4909512e-001	6.8324978e-001	8.3786929e-001	-9.9265311e-001	-9.9999061e-001	-9.9985588e-001	-9.9975659e-001	-9.9800428e-001	-9.8123186e-001	-9.9132465e-001	-7.8655253e-001	-5.5947687e-001	-7.6143384e-001	3.1327553e-001	-1.3120773e-001	1.9116085e-001	8.6903625e-002	2.5761535e-001	-2.7250466e-001	4.3472776e-001	-3.1537507e-001	4.3974437e-001	-2.6906895e-001	1.7941419e-001	-8.8951954e-002	-1.5580432e-001	-1.8976271e-001	5.9921296e-001	9.6822440e-001	-1.4875022e-001	9.4485896e-002	-9.9842928e-001	-9.8809824e-001	-9.7874493e-001	-9.9841120e-001	-9.8865390e-001	-9.7893551e-001	8.9381715e-001	-1.6678620e-001	9.1682389e-002	9.8743352e-001	-1.2183357e-001	9.4059354e-002	-4.0047652e-001	9.1223466e-001	-9.6705115e-001	-9.8436258e-001	-9.9831819e-001	-9.9061132e-001	-9.8041247e-001	-1.0000000e+000	-1.0000000e+000	-6.1657820e-001	-2.5726681e-001	2.6891819e-001
Subject 6	2.7719877e-001	-1.0097850e-002	-1.0513725e-001	-9.9733496e-001	-9.9048681e-001	-9.9542003e-001	-9.9762740e-001	-9.9021769e-001	-9.9554890e-001	-9.4246912e-001	-5.6568389e-001	-8.2276614e-001	8.4909512e-001	6.9558572e-001	8.4592156e-001	-9.9392770e-001	-9.9998547e-001	-9.9985699e-001	-9.9991738e-001	-9.9758385e-001	-9.9184681e-001	-9.9541357e-001	-7.5186908e-001	-4.5477250e-001	-5.5088154e-001	3.9005211e-001	-1.8227238e-001	1.5875150e-001	1.8731256e-001	2.5995104e-001	-2.4322958e-001	4.2173615e-001	-4.1846005e-001	5.5846137e-001	-2.1834364e-001	1.6513807e-001	8.0920164e-002	-2.0997915e-001	-1.5106365e-001	1.8042444e-001	9.6794820e-001	-1.4820997e-001	9.1909715e-002	-9.9897930e-001	-9.8675389e-001	-9.9730641e-001	-9.9905396e-001	-9.8658395e-001	-9.9741883e-001	8.9368344e-001	-1.6697042e-001	8.3347121e-002	9.8772183e-001	-1.2183357e-001	9.4059354e-002	-4.0935850e-001	9.1150257e-001	-9.6732060e-001	-9.8527538e-001	-9.9934834e-001	-9.8656477e-001	-9.9772789e-001	-1.0000000e+000	-1.0000000e+000	-1.0000000e+000	-3.0222484e-001	3.7903209e-001
Subject 7	2.7945388e-001	-1.9640776e-002	-1.1002215e-001	-9.9692104e-001	-9.6718593e-001	-9.8311783e-001	-9.9700268e-001	-9.6609671e-001	-9.8311627e-001	-9.4098663e-001	-5.6568389e-001	-8.1718902e-001	8.5104022e-001	6.7434716e-001	8.3359122e-001	-9.8683671e-001	-9.9998182e-001	-9.9965834e-001	-9.9963389e-001	-9.9686258e-001	-9.7240236e-001	-9.8286383e-001	-6.3718496e-001	-5.1475133e-001	-5.3655276e-001	3.6046018e-001	-2.3333509e-001	2.2645671e-001	6.9525313e-002	6.4297470e-002	-7.6438542e-002	1.3805729e-001	-3.6769477e-002	2.3140082e-001	-1.1457728e-001	3.1920436e-001	-4.8776863e-001	-9.5852111e-002	-1.3572875e-001	6.1084543e-001	9.6792950e-001	-1.4428214e-001	9.3144628e-002	-9.9933247e-001	-9.8857468e-001	-9.9201595e-001	-9.9935310e-001	-9.8892160e-001	-9.9167006e-001	8.9336965e-001	-1.6557052e-001	8.5205725e-002	9.8772183e-001	-1.2009236e-001	9.4085133e-002	-4.1676117e-001	9.1145298e-001	-9.6926606e-001	-9.8484817e-001	-9.9941882e-001	-9.8991228e-001	-9.9075340e-001	-1.0000000e+000	-1.0000000e+000	-1.0000000e+000	-3.0141075e-001	4.0146416e-001
Subject 8	2.7743247e-001	-3.0488303e-002	-1.2536043e-001	-9.9655926e-001	-9.6672843e-001	-9.8158533e-001	-9.9648525e-001	-9.6631315e-001	-9.8298176e-001	-9.4098663e-001	-5.7263824e-001	-8.1718902e-001	8.5032778e-001	6.7041013e-001	8.3238324e-001	-9.7685142e-001	-9.9997978e-001	-9.9934107e-001	-9.9916364e-001	-9.9576798e-001	-9.7584687e-001	-9.8682857e-001	-6.3323942e-001	-7.4387744e-001	-8.2240812e-001	3.6306395e-001	-3.0071910e-001	3.4686658e-001	-6.3693617e-002	1.4412423e-001	-1.3234852e-001	8.3232381e-002	4.1631384e-002	1.3719176e-001	-9.2289850e-002	3.7236909e-001	-7.2091282e-001	-1.6163423e-001	-1.7120153e-002	5.6142107e-001	9.6849148e-001	-1.4670536e-001	9.1708159e-002	-9.9811827e-001	-9.7295996e-001	-9.7656878e-001	-9.9803190e-001	-9.7316420e-001	-9.7740917e-001	8.9420478e-001	-1.6557052e-001	8.5205725e-002	9.8792586e-001	-1.2855866e-001	8.5898255e-002	-4.1293833e-001	9.1294266e-001	-9.6803308e-001	-9.8531929e-001	-9.9773170e-001	-9.7571945e-001	-9.8161313e-001	-1.0000000e+000	-1.0000000e+000	-5.9008523e-001	-3.6842726e-001	3.9013017e-001
Subject 9	2.7729342e-001	-2.1750698e-002	-1.2075082e-001	-9.9732847e-001	-9.6124532e-001	-9.8367156e-001	-9.9759576e-001	-9.5723623e-001	-9.8437928e-001	-9.4059758e-001	-5.6417505e-001	-8.2352693e-001	8.5032778e-001	6.7041013e-001	8.3238324e-001	-9.8329507e-001	-9.9998544e-001	-9.9952783e-001	-9.9942598e-001	-9.9735109e-001	-9.5721193e-001	-9.8584064e-001	-6.8311724e-001	-5.2481198e-001	-7.5852412e-001	3.5826771e-001	-2.5330862e-001	2.6692921e-001	-1.2425026e-001	2.1532392e-001	-1.8336174e-001	1.7174482e-001	-6.8957077e-002	2.4183069e-001	-1.9441947e-001	2.1675798e-001	-3.3802646e-001	-1.6479067e-001	-3.3767493e-002	7.2423433e-001	9.6848115e-001	-1.5437401e-001	8.5118255e-002	-9.9778938e-001	-9.7564510e-001	-9.6896130e-001	-9.9774476e-001	-9.7608723e-001	-9.6856979e-001	8.9420478e-001	-1.6788110e-001	8.4473659e-002	9.8775397e-001	-1.2976410e-001	8.3207756e-002	-4.0974176e-001	9.1291536e-001	-9.6412344e-001	-9.8745868e-001	-9.9727057e-001	-9.7885999e-001	-9.6899895e-001	-1.0000000e+000	-1.0000000e+000	-4.5636035e-001	-2.8790289e-001	2.9184819e-001
Subject 10	2.8058569e-001	-9.9602983e-003	-1.0606516e-001	-9.9480344e-001	-9.7275840e-001	-9.8624387e-001	-9.9540462e-001	-9.7366322e-001	-9.8564195e-001	-9.4002751e-001	-5.5459369e-001	-8.1585037e-001	8.4544241e-001	6.8475694e-001	8.3845531e-001	-9.8654074e-001	-9.9996282e-001	-9.9966171e-001	-9.9971795e-001	-9.9616279e-001	-9.7980923e-001	-9.8281072e-001	-5.5072132e-001	-2.9455303e-001	-4.7971077e-001	1.9286260e-001	-2.1212436e-002	3.7914663e-002	1.9054017e-001	3.9721557e-002	5.4283163e-002	3.7268005e-002	8.1551086e-002	1.7233993e-001	3.5995078e-002	-1.8492998e-001	3.5115631e-001	-1.7624116e-001	-4.4765092e-001	3.9186658e-001	9.6841804e-001	-1.5630201e-001	8.0874470e-002	-9.9736219e-001	-9.9050162e-001	-9.9674235e-001	-9.9741031e-001	-9.9063400e-001	-9.9774651e-001	8.9477777e-001	-1.7596367e-001	7.3488197e-002	9.8775397e-001	-1.2976410e-001	8.3047547e-002	-4.1596709e-001	9.1274816e-001	-9.6313738e-001	-9.8880075e-001	-9.9752527e-001	-9.9127719e-001	-9.9926747e-001	-1.0000000e+000	-1.0000000e+000	-1.0000000e+000	-3.3139263e-001	3.6132765e-001
